,date,shop,brand,container,quantity,capacity,sales
2116,2013-12-31,shop_4,kinder-cola,plastic,9658,1.5lt,36189.76
2117,2013-12-31,shop_4,kinder-cola,can,28538,330ml,18268.26
2118,2013-12-31,shop_4,adult-cola,glass,26378,500ml,30880.39
2119,2013-12-31,shop_4,adult-cola,plastic,23605,1.5lt,37098.83
2120,2013-12-31,shop_4,adult-cola,can,32834,330ml,22471.68
2121,2013-12-31,shop_4,orange-power,glass,33696,500ml,29608.47
2122,2013-12-31,shop_4,orange-power,plastic,32343,1.5lt,44352.93
2123,2013-12-31,shop_4,orange-power,can,44919,330ml,22670.94
2124,2013-12-31,shop_4,gazoza,glass,28931,500ml,21455.95
2125,2013-12-31,shop_4,gazoza,plastic,35072,1.5lt,35843.76
2126,2013-12-31,shop_4,gazoza,can,97481,330ml,20743.63
2127,2013-12-31,shop_4,lemon-boost,glass,30495,500ml,25039.69
2128,2013-12-31,shop_4,lemon-boost,plastic,28488,1.5lt,45416.27
2129,2013-12-31,shop_4,lemon-boost,can,57908,330ml,15729.09
2130,2013-12-31,shop_3,kinder-cola,glass,6730,500ml,9784.98
2131,2013-12-31,shop_3,kinder-cola,plastic,7005,1.5lt,21448.94
2132,2013-12-31,shop_3,kinder-cola,can,15937,330ml,8584.67
2133,2013-12-31,shop_3,adult-cola,glass,12890,500ml,14213.83
2134,2013-12-31,shop_3,adult-cola,plastic,12924,1.5lt,27989.05
2135,2013-12-31,shop_3,adult-cola,can,13055,330ml,10739.1
2136,2013-12-31,shop_3,orange-power,glass,23168,500ml,20252.3
2137,2013-12-31,shop_3,orange-power,plastic,20278,1.5lt,36632.21
2138,2013-12-31,shop_3,orange-power,can,31701,330ml,13602.75
2139,2013-12-31,shop_3,gazoza,glass,47955,500ml,15837.83
2140,2013-12-31,shop_3,gazoza,plastic,13591,1.5lt,17852.6
2141,2013-12-31,shop_3,gazoza,can,16504,330ml,7080.98
2142,2013-12-31,shop_3,lemon-boost,glass,21270,500ml,16003.64
2143,2013-12-31,shop_3,lemon-boost,plastic,11899,1.5lt,23299.3
2144,2013-12-31,shop_3,lemon-boost,can,22268,330ml,8516.26
2160,2014-01-31,shop_1,kinder-cola,glass,11652,500ml,13382.58
2161,2014-01-31,shop_1,kinder-cola,plastic,9263,1.5lt,18048.14
2162,2014-01-31,shop_1,kinder-cola,can,10490,330ml,9213.59
2163,2014-01-31,shop_1,adult-cola,glass,17438,500ml,20078.15
2164,2014-01-31,shop_1,adult-cola,plastic,13676,1.5lt,32997.92
2165,2014-01-31,shop_1,adult-cola,can,9337,330ml,8274.6
2166,2014-01-31,shop_1,orange-power,glass,23189,500ml,20444.42
2167,2014-01-31,shop_1,orange-power,plastic,10528,1.5lt,22117.61
2168,2014-01-31,shop_1,orange-power,can,27516,330ml,14318.63
2169,2014-01-31,shop_1,gazoza,glass,32982,500ml,20705.8
2170,2014-01-31,shop_1,gazoza,plastic,24978,1.5lt,24239.04
2171,2014-01-31,shop_1,gazoza,can,45892,330ml,9425.67
2172,2014-01-31,shop_1,lemon-boost,glass,10410,500ml,11442.49
2173,2014-01-31,shop_1,lemon-boost,plastic,9489,1.5lt,22136.62
2174,2014-01-31,shop_1,lemon-boost,can,16946,330ml,10202.75
2175,2014-01-31,shop_2,kinder-cola,glass,14566,500ml,17327.92
2176,2014-01-31,shop_2,kinder-cola,plastic,9874,1.5lt,30523.02
2177,2014-01-31,shop_2,kinder-cola,can,22208,330ml,12138.27
2178,2014-01-31,shop_2,adult-cola,glass,25021,500ml,22215.57
2179,2014-01-31,shop_2,adult-cola,plastic,23642,1.5lt,36945.42
2180,2014-01-31,shop_2,adult-cola,can,23711,330ml,14455.39
2181,2014-01-31,shop_2,orange-power,glass,17820,500ml,17854.78
2182,2014-01-31,shop_2,orange-power,plastic,18071,1.5lt,33932.87
2183,2014-01-31,shop_2,orange-power,can,17827,330ml,11206.89
2184,2014-01-31,shop_2,gazoza,glass,46988,500ml,26497.98
2185,2014-01-31,shop_2,gazoza,plastic,32908,1.5lt,32129.19
2186,2014-01-31,shop_2,gazoza,can,46715,330ml,13278.16
2187,2014-01-31,shop_2,lemon-boost,glass,18242,500ml,17098.99
2188,2014-01-31,shop_2,lemon-boost,plastic,8420,1.5lt,22180.79
2189,2014-01-31,shop_2,lemon-boost,can,10756,330ml,8178.12
2190,2014-01-31,shop_6,kinder-cola,glass,16381,500ml,20076.28
2191,2014-01-31,shop_6,kinder-cola,plastic,15334,1.5lt,39249.86
2192,2014-01-31,shop_6,kinder-cola,can,18644,330ml,15455.35
2193,2014-01-31,shop_6,adult-cola,glass,21202,500ml,24928.01
2194,2014-01-31,shop_6,adult-cola,plastic,21519,1.5lt,44221.72
2195,2014-01-31,shop_6,adult-cola,can,40110,330ml,17427.9
2196,2014-01-31,shop_6,orange-power,glass,32838,500ml,24696.32
2197,2014-01-31,shop_6,orange-power,plastic,34628,1.5lt,52783.81
2198,2014-01-31,shop_6,orange-power,can,35998,330ml,20228.62
2199,2014-01-31,shop_6,gazoza,glass,31848,500ml,23670.72
2200,2014-01-31,shop_6,gazoza,plastic,27253,1.5lt,34932.61
2201,2014-01-31,shop_6,gazoza,can,42601,330ml,15463.39
2202,2014-01-31,shop_6,lemon-boost,glass,26646,500ml,24000.98
2203,2014-01-31,shop_6,lemon-boost,plastic,20439,1.5lt,34217.86
2204,2014-01-31,shop_6,lemon-boost,can,36708,330ml,15600.23
2205,2014-01-31,shop_4,kinder-cola,glass,14380,500ml,18191.98
2206,2014-01-31,shop_4,kinder-cola,plastic,11831,1.5lt,33006.42
2207,2014-01-31,shop_4,kinder-cola,can,14149,330ml,12549.45
2208,2014-01-31,shop_4,adult-cola,glass,11582,500ml,16628.63
2209,2014-01-31,shop_4,adult-cola,plastic,20050,1.5lt,43123.6
2210,2014-01-31,shop_4,adult-cola,can,29614,330ml,15569.2
2211,2014-01-31,shop_4,orange-power,glass,35690,500ml,29226.95
2212,2014-01-31,shop_4,orange-power,plastic,20592,1.5lt,33932.09
2213,2014-01-31,shop_4,orange-power,can,26969,330ml,15018.51
2214,2014-01-31,shop_4,gazoza,glass,52247,500ml,24493.0
2215,2014-01-31,shop_4,gazoza,plastic,35076,1.5lt,34039.66
2216,2014-01-31,shop_4,gazoza,can,47981,330ml,14447.96
2217,2014-01-31,shop_4,lemon-boost,glass,28877,500ml,24046.39
2218,2014-01-31,shop_4,lemon-boost,plastic,8052,1.5lt,22247.24
2219,2014-01-31,shop_4,lemon-boost,can,24057,330ml,12969.3
2220,2014-01-31,shop_3,kinder-cola,glass,10743,500ml,11027.37
2221,2014-01-31,shop_3,kinder-cola,plastic,6772,1.5lt,19461.41
2222,2014-01-31,shop_3,kinder-cola,can,7568,330ml,6203.9
2223,2014-01-31,shop_3,adult-cola,glass,10544,500ml,13537.83
2224,2014-01-31,shop_3,adult-cola,plastic,9820,1.5lt,24993.39
2225,2014-01-31,shop_3,adult-cola,can,24634,330ml,7702.8
2226,2014-01-31,shop_3,orange-power,glass,18059,500ml,15269.32
2227,2014-01-31,shop_3,orange-power,plastic,14762,1.5lt,20276.91
2228,2014-01-31,shop_3,orange-power,can,19806,330ml,9868.06
2229,2014-01-31,shop_3,gazoza,glass,20172,500ml,12874.87
2230,2014-01-31,shop_3,gazoza,plastic,17321,1.5lt,18317.33
2231,2014-01-31,shop_3,gazoza,can,33934,330ml,7035.45
2232,2014-01-31,shop_3,lemon-boost,glass,9782,500ml,10907.91
2233,2014-01-31,shop_3,lemon-boost,plastic,10462,1.5lt,18400.87
2234,2014-01-31,shop_3,lemon-boost,can,18255,330ml,8153.2
2250,2014-02-28,shop_1,kinder-cola,glass,5223,500ml,8449.32
2251,2014-02-28,shop_1,kinder-cola,plastic,6808,1.5lt,21402.16
2252,2014-02-28,shop_1,kinder-cola,can,8318,330ml,7276.05
2253,2014-02-28,shop_1,adult-cola,glass,20658,500ml,12336.7
2254,2014-02-28,shop_1,adult-cola,plastic,3642,1.5lt,14526.89
2255,2014-02-28,shop_1,adult-cola,can,11807,330ml,10159.5
2256,2014-02-28,shop_1,orange-power,glass,24763,500ml,16957.49
2257,2014-02-28,shop_1,orange-power,plastic,18203,1.5lt,23501.55
2258,2014-02-28,shop_1,orange-power,can,25177,330ml,11476.58
2259,2014-02-28,shop_1,gazoza,glass,20855,500ml,12784.93
2260,2014-02-28,shop_1,gazoza,plastic,15869,1.5lt,13147.07
2261,2014-02-28,shop_1,gazoza,can,27518,330ml,9371.06
2262,2014-02-28,shop_1,lemon-boost,glass,15738,500ml,12789.22
2263,2014-02-28,shop_1,lemon-boost,plastic,11451,1.5lt,16280.87
2264,2014-02-28,shop_1,lemon-boost,can,16678,330ml,9794.79
2265,2014-02-28,shop_2,kinder-cola,glass,9863,500ml,13372.78
2266,2014-02-28,shop_2,kinder-cola,plastic,7411,1.5lt,23570.61
2267,2014-02-28,shop_2,kinder-cola,can,10374,330ml,7625.82
2268,2014-02-28,shop_2,adult-cola,glass,8148,500ml,11745.55
2269,2014-02-28,shop_2,adult-cola,plastic,7753,1.5lt,22050.25
2270,2014-02-28,shop_2,adult-cola,can,22115,330ml,13238.01
2271,2014-02-28,shop_2,orange-power,glass,21738,500ml,13424.03
2272,2014-02-28,shop_2,orange-power,plastic,11810,1.5lt,25772.45
2273,2014-02-28,shop_2,orange-power,can,38949,330ml,15609.25
2274,2014-02-28,shop_2,gazoza,glass,24798,500ml,16038.94
2275,2014-02-28,shop_2,gazoza,plastic,20132,1.5lt,24340.8
2276,2014-02-28,shop_2,gazoza,can,20701,330ml,8402.53
2277,2014-02-28,shop_2,lemon-boost,glass,9180,500ml,10680.55
2278,2014-02-28,shop_2,lemon-boost,plastic,8748,1.5lt,18793.97
2279,2014-02-28,shop_2,lemon-boost,can,22047,330ml,10687.51
2280,2014-02-28,shop_6,kinder-cola,glass,17680,500ml,20798.29
2281,2014-02-28,shop_6,kinder-cola,plastic,10858,1.5lt,31710.33
2282,2014-02-28,shop_6,kinder-cola,can,11949,330ml,10141.17
2283,2014-02-28,shop_6,adult-cola,glass,14687,500ml,19520.52
2284,2014-02-28,shop_6,adult-cola,plastic,12416,1.5lt,35778.9
2285,2014-02-28,shop_6,adult-cola,can,20086,330ml,16165.76
2286,2014-02-28,shop_6,orange-power,glass,35502,500ml,28675.84
2287,2014-02-28,shop_6,orange-power,plastic,20495,1.5lt,40502.21
2288,2014-02-28,shop_6,orange-power,can,33219,330ml,16535.92
2289,2014-02-28,shop_6,gazoza,glass,15292,500ml,12789.66
2290,2014-02-28,shop_6,gazoza,plastic,24461,1.5lt,27291.15
2291,2014-02-28,shop_6,gazoza,can,59681,330ml,17342.19
2292,2014-02-28,shop_6,lemon-boost,glass,23405,500ml,21224.22
2293,2014-02-28,shop_6,lemon-boost,plastic,17704,1.5lt,29274.31
2294,2014-02-28,shop_6,lemon-boost,can,15630,330ml,10444.96
2295,2014-02-28,shop_4,kinder-cola,glass,11715,500ml,13931.16
2296,2014-02-28,shop_4,kinder-cola,plastic,11294,1.5lt,22586.63
2297,2014-02-28,shop_4,kinder-cola,can,20178,330ml,7440.49
2298,2014-02-28,shop_4,adult-cola,glass,14894,500ml,16213.05
2299,2014-02-28,shop_4,adult-cola,plastic,19433,1.5lt,31317.11
2300,2014-02-28,shop_4,adult-cola,can,21487,330ml,14417.1
2301,2014-02-28,shop_4,orange-power,glass,22967,500ml,20588.33
2302,2014-02-28,shop_4,orange-power,plastic,21645,1.5lt,34607.95
2303,2014-02-28,shop_4,orange-power,can,31764,330ml,13375.89
2304,2014-02-28,shop_4,gazoza,glass,28573,500ml,17607.87
2305,2014-02-28,shop_4,gazoza,plastic,9974,1.5lt,15683.61
2306,2014-02-28,shop_4,gazoza,can,32507,330ml,11393.39
2307,2014-02-28,shop_4,lemon-boost,glass,21246,500ml,18620.44
2308,2014-02-28,shop_4,lemon-boost,plastic,11007,1.5lt,23033.28
2309,2014-02-28,shop_4,lemon-boost,can,26228,330ml,11429.54
2310,2014-02-28,shop_3,kinder-cola,glass,6886,500ml,9216.99
2311,2014-02-28,shop_3,kinder-cola,plastic,6314,1.5lt,11349.57
2312,2014-02-28,shop_3,kinder-cola,can,10363,330ml,6378.28
2313,2014-02-28,shop_3,adult-cola,glass,10700,500ml,11077.92
2314,2014-02-28,shop_3,adult-cola,plastic,9282,1.5lt,26139.71
2315,2014-02-28,shop_3,adult-cola,can,7868,330ml,6920.11
2316,2014-02-28,shop_3,orange-power,glass,24064,500ml,13702.33
2317,2014-02-28,shop_3,orange-power,plastic,8651,1.5lt,17868.46
2318,2014-02-28,shop_3,orange-power,can,17448,330ml,8260.9
2319,2014-02-28,shop_3,gazoza,glass,11718,500ml,8574.68
2320,2014-02-28,shop_3,gazoza,plastic,22550,1.5lt,11689.78
2321,2014-02-28,shop_3,gazoza,can,28905,330ml,7711.51
2322,2014-02-28,shop_3,lemon-boost,glass,6070,500ml,6825.62
2323,2014-02-28,shop_3,lemon-boost,plastic,9649,1.5lt,14789.68
2324,2014-02-28,shop_3,lemon-boost,can,12224,330ml,6394.45
2340,2014-03-31,shop_1,kinder-cola,glass,12211,500ml,17039.61
2341,2014-03-31,shop_1,kinder-cola,plastic,14098,1.5lt,31240.91
2342,2014-03-31,shop_1,kinder-cola,can,12079,330ml,9891.65
2343,2014-03-31,shop_1,adult-cola,glass,13701,500ml,19035.46
2344,2014-03-31,shop_1,adult-cola,plastic,12920,1.5lt,39276.32
2345,2014-03-31,shop_1,adult-cola,can,9855,330ml,9249.12
2346,2014-03-31,shop_1,orange-power,glass,24419,500ml,23045.59
2347,2014-03-31,shop_1,orange-power,plastic,32241,1.5lt,40897.81
2348,2014-03-31,shop_1,orange-power,can,21912,330ml,13488.66
2349,2014-03-31,shop_1,gazoza,glass,40042,500ml,23961.13
2350,2014-03-31,shop_1,gazoza,plastic,17984,1.5lt,25200.13
2351,2014-03-31,shop_1,gazoza,can,36672,330ml,13272.57
2352,2014-03-31,shop_1,lemon-boost,glass,20617,500ml,17352.91
2353,2014-03-31,shop_1,lemon-boost,plastic,12854,1.5lt,27888.5
2354,2014-03-31,shop_1,lemon-boost,can,29146,330ml,11772.01
2355,2014-03-31,shop_2,kinder-cola,glass,14928,500ml,17765.67
2356,2014-03-31,shop_2,kinder-cola,plastic,9418,1.5lt,31566.27
2357,2014-03-31,shop_2,kinder-cola,can,19204,330ml,13764.87
2358,2014-03-31,shop_2,adult-cola,glass,20694,500ml,24039.43
2359,2014-03-31,shop_2,adult-cola,plastic,11707,1.5lt,38471.24
2360,2014-03-31,shop_2,adult-cola,can,22207,330ml,15520.59
2361,2014-03-31,shop_2,orange-power,glass,16214,500ml,18257.24
2362,2014-03-31,shop_2,orange-power,plastic,26724,1.5lt,43220.21
2363,2014-03-31,shop_2,orange-power,can,38439,330ml,19890.87
2364,2014-03-31,shop_2,gazoza,glass,51291,500ml,29741.57
2365,2014-03-31,shop_2,gazoza,plastic,28767,1.5lt,30647.38
2366,2014-03-31,shop_2,gazoza,can,49296,330ml,16957.39
2367,2014-03-31,shop_2,lemon-boost,glass,18912,500ml,19112.12
2368,2014-03-31,shop_2,lemon-boost,plastic,14532,1.5lt,31670.77
2369,2014-03-31,shop_2,lemon-boost,can,27189,330ml,14397.93
2370,2014-03-31,shop_6,kinder-cola,glass,25279,500ml,26556.83
2371,2014-03-31,shop_6,kinder-cola,plastic,11542,1.5lt,40080.82
2372,2014-03-31,shop_6,kinder-cola,can,21370,330ml,16928.67
2373,2014-03-31,shop_6,adult-cola,glass,45761,500ml,44712.95
2374,2014-03-31,shop_6,adult-cola,plastic,24915,1.5lt,56953.16
2375,2014-03-31,shop_6,adult-cola,can,33110,330ml,24785.16
2376,2014-03-31,shop_6,orange-power,glass,32404,500ml,29998.42
2377,2014-03-31,shop_6,orange-power,plastic,33444,1.5lt,59255.34
2378,2014-03-31,shop_6,orange-power,can,62499,330ml,26580.81
2379,2014-03-31,shop_6,gazoza,glass,39194,500ml,27801.5
2380,2014-03-31,shop_6,gazoza,plastic,26537,1.5lt,35917.28
2381,2014-03-31,shop_6,gazoza,can,77279,330ml,22844.2
2382,2014-03-31,shop_6,lemon-boost,glass,32726,500ml,28255.38
2383,2014-03-31,shop_6,lemon-boost,plastic,20322,1.5lt,43959.91
2384,2014-03-31,shop_6,lemon-boost,can,37170,330ml,18683.11
2385,2014-03-31,shop_4,kinder-cola,glass,21371,500ml,21776.56
2386,2014-03-31,shop_4,kinder-cola,plastic,10165,1.5lt,33854.17
2387,2014-03-31,shop_4,kinder-cola,can,24394,330ml,13379.37
2388,2014-03-31,shop_4,adult-cola,glass,30492,500ml,32564.16
2389,2014-03-31,shop_4,adult-cola,plastic,23429,1.5lt,59163.65
2390,2014-03-31,shop_4,adult-cola,can,39756,330ml,18003.38
2391,2014-03-31,shop_4,orange-power,glass,46443,500ml,38040.97
2392,2014-03-31,shop_4,orange-power,plastic,33993,1.5lt,40158.8
2393,2014-03-31,shop_4,orange-power,can,24311,330ml,15065.08
2394,2014-03-31,shop_4,gazoza,glass,41815,500ml,28140.31
2395,2014-03-31,shop_4,gazoza,plastic,28285,1.5lt,34588.19
2396,2014-03-31,shop_4,gazoza,can,39179,330ml,15239.05
2397,2014-03-31,shop_4,lemon-boost,glass,25819,500ml,25239.1
2398,2014-03-31,shop_4,lemon-boost,plastic,23251,1.5lt,34604.42
2399,2014-03-31,shop_4,lemon-boost,can,23262,330ml,12684.53
2400,2014-03-31,shop_3,kinder-cola,glass,7823,500ml,11850.51
2401,2014-03-31,shop_3,kinder-cola,plastic,6720,1.5lt,21471.59
2402,2014-03-31,shop_3,kinder-cola,can,14129,330ml,9026.85
2403,2014-03-31,shop_3,adult-cola,glass,16772,500ml,18105.96
2404,2014-03-31,shop_3,adult-cola,plastic,9254,1.5lt,27186.47
2405,2014-03-31,shop_3,adult-cola,can,17403,330ml,11988.16
2406,2014-03-31,shop_3,orange-power,glass,33689,500ml,19843.03
2407,2014-03-31,shop_3,orange-power,plastic,19825,1.5lt,30219.58
2408,2014-03-31,shop_3,orange-power,can,27474,330ml,11965.2
2409,2014-03-31,shop_3,gazoza,glass,21460,500ml,15016.78
2410,2014-03-31,shop_3,gazoza,plastic,26887,1.5lt,20204.07
2411,2014-03-31,shop_3,gazoza,can,35288,330ml,11463.56
2412,2014-03-31,shop_3,lemon-boost,glass,14091,500ml,14066.96
2413,2014-03-31,shop_3,lemon-boost,plastic,8582,1.5lt,20639.18
2414,2014-03-31,shop_3,lemon-boost,can,15887,330ml,9194.45
2430,2014-04-30,shop_1,kinder-cola,glass,14543,500ml,17729.29
2431,2014-04-30,shop_1,kinder-cola,plastic,12025,1.5lt,36090.61
2432,2014-04-30,shop_1,kinder-cola,can,16275,330ml,12332.69
2433,2014-04-30,shop_1,adult-cola,glass,17171,500ml,22952.62
2434,2014-04-30,shop_1,adult-cola,plastic,14858,1.5lt,42233.25
2435,2014-04-30,shop_1,adult-cola,can,20350,330ml,15983.68
2436,2014-04-30,shop_1,orange-power,glass,36521,500ml,31146.23
2437,2014-04-30,shop_1,orange-power,plastic,19785,1.5lt,38388.86
2438,2014-04-30,shop_1,orange-power,can,36740,330ml,19402.62
2439,2014-04-30,shop_1,gazoza,glass,51178,500ml,27380.98
2440,2014-04-30,shop_1,gazoza,plastic,41616,1.5lt,31618.12
2441,2014-04-30,shop_1,gazoza,can,50015,330ml,15168.54
2442,2014-04-30,shop_1,lemon-boost,glass,17073,500ml,17621.71
2443,2014-04-30,shop_1,lemon-boost,plastic,10607,1.5lt,24966.66
2444,2014-04-30,shop_1,lemon-boost,can,34192,330ml,16023.0
2445,2014-04-30,shop_2,kinder-cola,glass,17400,500ml,21931.42
2446,2014-04-30,shop_2,kinder-cola,plastic,20481,1.5lt,36213.26
2447,2014-04-30,shop_2,kinder-cola,can,20412,330ml,15512.81
2448,2014-04-30,shop_2,adult-cola,glass,17616,500ml,24947.94
2449,2014-04-30,shop_2,adult-cola,plastic,14269,1.5lt,44091.17
2450,2014-04-30,shop_2,adult-cola,can,36454,330ml,24399.85
2451,2014-04-30,shop_2,orange-power,glass,50251,500ml,35769.19
2452,2014-04-30,shop_2,orange-power,plastic,30972,1.5lt,43740.04
2453,2014-04-30,shop_2,orange-power,can,59126,330ml,24094.61
2454,2014-04-30,shop_2,gazoza,glass,52376,500ml,29179.33
2455,2014-04-30,shop_2,gazoza,plastic,32524,1.5lt,36133.53
2456,2014-04-30,shop_2,gazoza,can,61670,330ml,20253.21
2457,2014-04-30,shop_2,lemon-boost,glass,25752,500ml,25525.02
2458,2014-04-30,shop_2,lemon-boost,plastic,21891,1.5lt,42039.48
2459,2014-04-30,shop_2,lemon-boost,can,35552,330ml,13891.11
2460,2014-04-30,shop_6,kinder-cola,glass,21238,500ml,29462.83
2461,2014-04-30,shop_6,kinder-cola,plastic,20061,1.5lt,57572.09
2462,2014-04-30,shop_6,kinder-cola,can,21972,330ml,19660.86
2463,2014-04-30,shop_6,adult-cola,glass,40907,500ml,42346.44
2464,2014-04-30,shop_6,adult-cola,plastic,38307,1.5lt,69206.65
2465,2014-04-30,shop_6,adult-cola,can,48125,330ml,33173.14
2466,2014-04-30,shop_6,orange-power,glass,53872,500ml,44136.66
2467,2014-04-30,shop_6,orange-power,plastic,56478,1.5lt,63516.99
2468,2014-04-30,shop_6,orange-power,can,65111,330ml,30275.18
2469,2014-04-30,shop_6,gazoza,glass,83920,500ml,48220.03
2470,2014-04-30,shop_6,gazoza,plastic,51999,1.5lt,53761.19
2471,2014-04-30,shop_6,gazoza,can,56288,330ml,20827.42
2472,2014-04-30,shop_6,lemon-boost,glass,35844,500ml,32709.88
2473,2014-04-30,shop_6,lemon-boost,plastic,17905,1.5lt,47666.13
2474,2014-04-30,shop_6,lemon-boost,can,32078,330ml,19672.6
2475,2014-04-30,shop_4,kinder-cola,glass,27214,500ml,18400.49
2476,2014-04-30,shop_4,kinder-cola,plastic,10383,1.5lt,40598.48
2477,2014-04-30,shop_4,kinder-cola,can,16792,330ml,14939.15
2478,2014-04-30,shop_4,adult-cola,glass,32960,500ml,39459.8
2479,2014-04-30,shop_4,adult-cola,plastic,30985,1.5lt,58400.39
2480,2014-04-30,shop_4,adult-cola,can,50206,330ml,26022.02
2481,2014-04-30,shop_4,orange-power,glass,49398,500ml,38757.45
2482,2014-04-30,shop_4,orange-power,plastic,23306,1.5lt,48326.94
2483,2014-04-30,shop_4,orange-power,can,72019,330ml,22263.55
2484,2014-04-30,shop_4,gazoza,glass,88642,500ml,41873.92
2485,2014-04-30,shop_4,gazoza,plastic,21725,1.5lt,30041.29
2486,2014-04-30,shop_4,gazoza,can,69570,330ml,20978.71
2487,2014-04-30,shop_4,lemon-boost,glass,28377,500ml,25047.73
2488,2014-04-30,shop_4,lemon-boost,plastic,22026,1.5lt,42062.33
2489,2014-04-30,shop_4,lemon-boost,can,41881,330ml,21209.74
2490,2014-04-30,shop_3,kinder-cola,glass,6884,500ml,11258.41
2491,2014-04-30,shop_3,kinder-cola,plastic,7835,1.5lt,26390.1
2492,2014-04-30,shop_3,kinder-cola,can,10301,330ml,10683.39
2493,2014-04-30,shop_3,adult-cola,glass,18725,500ml,19725.78
2494,2014-04-30,shop_3,adult-cola,plastic,17887,1.5lt,32407.77
2495,2014-04-30,shop_3,adult-cola,can,25046,330ml,15690.3
2496,2014-04-30,shop_3,orange-power,glass,36409,500ml,23840.1
2497,2014-04-30,shop_3,orange-power,plastic,18627,1.5lt,33735.08
2498,2014-04-30,shop_3,orange-power,can,34732,330ml,15158.74
2499,2014-04-30,shop_3,gazoza,glass,30117,500ml,19202.45
2500,2014-04-30,shop_3,gazoza,plastic,26574,1.5lt,24082.82
2501,2014-04-30,shop_3,gazoza,can,17538,330ml,7744.37
2502,2014-04-30,shop_3,lemon-boost,glass,21972,500ml,19093.3
2503,2014-04-30,shop_3,lemon-boost,plastic,15067,1.5lt,30708.01
2504,2014-04-30,shop_3,lemon-boost,can,8387,330ml,6318.6
2520,2014-05-31,shop_1,kinder-cola,glass,11110,500ml,17652.56
2521,2014-05-31,shop_1,kinder-cola,plastic,13033,1.5lt,41406.38
2522,2014-05-31,shop_1,kinder-cola,can,22607,330ml,16057.95
2523,2014-05-31,shop_1,adult-cola,glass,38961,500ml,32268.14
2524,2014-05-31,shop_1,adult-cola,plastic,16574,1.5lt,41075.52
2525,2014-05-31,shop_1,adult-cola,can,29253,330ml,20618.44
2526,2014-05-31,shop_1,orange-power,glass,51724,500ml,38461.69
2527,2014-05-31,shop_1,orange-power,plastic,23221,1.5lt,44240.02
2528,2014-05-31,shop_1,orange-power,can,41727,330ml,20267.93
2529,2014-05-31,shop_1,gazoza,glass,54015,500ml,30342.85
2530,2014-05-31,shop_1,gazoza,plastic,31875,1.5lt,34835.74
2531,2014-05-31,shop_1,gazoza,can,58718,330ml,18152.96
2532,2014-05-31,shop_1,lemon-boost,glass,18628,500ml,18175.27
2533,2014-05-31,shop_1,lemon-boost,plastic,19306,1.5lt,34746.28
2534,2014-05-31,shop_1,lemon-boost,can,56011,330ml,16468.08
2535,2014-05-31,shop_2,kinder-cola,glass,19242,500ml,24584.62
2536,2014-05-31,shop_2,kinder-cola,plastic,16453,1.5lt,47326.1
2537,2014-05-31,shop_2,kinder-cola,can,15235,330ml,15096.08
2538,2014-05-31,shop_2,adult-cola,glass,21131,500ml,28068.92
2539,2014-05-31,shop_2,adult-cola,plastic,29840,1.5lt,66293.55
2540,2014-05-31,shop_2,adult-cola,can,31297,330ml,23473.73
2541,2014-05-31,shop_2,orange-power,glass,21986,500ml,24363.86
2542,2014-05-31,shop_2,orange-power,plastic,28200,1.5lt,54605.3
2543,2014-05-31,shop_2,orange-power,can,69898,330ml,27877.67
2544,2014-05-31,shop_2,gazoza,glass,46489,500ml,30124.06
2545,2014-05-31,shop_2,gazoza,plastic,39919,1.5lt,46388.57
2546,2014-05-31,shop_2,gazoza,can,56362,330ml,19399.88
2547,2014-05-31,shop_2,lemon-boost,glass,28722,500ml,25896.36
2548,2014-05-31,shop_2,lemon-boost,plastic,29844,1.5lt,41391.79
2549,2014-05-31,shop_2,lemon-boost,can,35612,330ml,19061.55
2550,2014-05-31,shop_6,kinder-cola,glass,39613,500ml,38876.43
2551,2014-05-31,shop_6,kinder-cola,plastic,32190,1.5lt,52240.58
2552,2014-05-31,shop_6,kinder-cola,can,24838,330ml,21721.05
2553,2014-05-31,shop_6,adult-cola,glass,36819,500ml,45897.22
2554,2014-05-31,shop_6,adult-cola,plastic,31757,1.5lt,80279.03
2555,2014-05-31,shop_6,adult-cola,can,55118,330ml,35737.79
2556,2014-05-31,shop_6,orange-power,glass,56014,500ml,49522.21
2557,2014-05-31,shop_6,orange-power,plastic,39595,1.5lt,75683.32
2558,2014-05-31,shop_6,orange-power,can,91396,330ml,36748.15
2559,2014-05-31,shop_6,gazoza,glass,75547,500ml,44889.72
2560,2014-05-31,shop_6,gazoza,plastic,53978,1.5lt,57665.39
2561,2014-05-31,shop_6,gazoza,can,122389,330ml,31380.36
2562,2014-05-31,shop_6,lemon-boost,glass,39375,500ml,36553.36
2563,2014-05-31,shop_6,lemon-boost,plastic,31732,1.5lt,59481.15
2564,2014-05-31,shop_6,lemon-boost,can,42400,330ml,25280.69
2565,2014-05-31,shop_4,kinder-cola,glass,19954,500ml,28844.61
2566,2014-05-31,shop_4,kinder-cola,plastic,15047,1.5lt,44063.77
2567,2014-05-31,shop_4,kinder-cola,can,22378,330ml,19667.8
2568,2014-05-31,shop_4,adult-cola,glass,40198,500ml,42920.58
2569,2014-05-31,shop_4,adult-cola,plastic,26950,1.5lt,69601.65
2570,2014-05-31,shop_4,adult-cola,can,55819,330ml,26518.69
2571,2014-05-31,shop_4,orange-power,glass,41086,500ml,37274.73
